,City Name,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloud Cover (%),Wind Speed (mph)
300,Bacungan,PH,9.87,118.73,75.2,88,20,4.7
301,Qarqin,AF,37.41,66.03,56.7,15,1,17.38
302,Xinzhi,TW,22.54,120.62,67.15,83,75,5.82
303,Fukuma,JP,33.77,130.47,49.86,71,75,10.29
304,Mugur-Aksy,RU,50.38,90.44,1.65,81,92,5.3
305,Salalah,OM,17.01,54.1,77.0,36,1,10.29
306,Saravan,AM,39.72,45.65,44.6,93,90,4.7
307,Thinadhoo,MV,0.53,72.93,81.37,78,100,6.08
308,Shitanjing,CN,39.23,106.34,25.0,33,81,3.22
309,Giaveno,IT,45.04,7.35,42.42,100,40,6.93
310,Nyurba,RU,63.29,118.35,-12.03,95,100,6.2
311,Algiers,US,29.94,-90.04,78.4,73,75,20.8
312,Massakory,TD,13.0,15.73,78.21,12,74,10.04
313,Hadsund,DK,56.72,10.12,31.28,85,0,2.24
314,Hasaki,JP,35.73,140.83,37.17,86,75,4.7
315,Seydi,NE,13.34,7.75,78.24,13,100,10.56
316,Chumikan,RU,54.72,135.31,-0.6,84,6,4.81
317,Itoman,JP,26.12,127.67,68.88,64,20,10.29
318,Hami,CN,42.84,93.51,18.88,39,0,5.5
319,Suure-Jaani,EE,58.54,25.46,28.0,93,67,1.99
320,Havoysund,NO,71.0,24.66,24.8,92,100,40.26
321,Serebryanyy Bor,RU,56.8,124.8,-5.84,96,100,3.27
322,Obama,JP,35.49,135.74,35.4,91,0,8.61
323,Verkhoyansk,RU,67.55,133.39,-22.79,88,92,1.43
324,Victoria,BN,5.28,115.24,79.38,88,75,7.4
325,Zalaegerszeg,HU,46.84,16.85,34.48,83,31,1.88
326,Binzhou,CN,37.38,117.96,37.0,67,100,7.11
327,Agadez,NE,16.97,7.99,75.2,14,1,8.05
328,Romans-sur-Isere,FR,45.05,5.06,44.98,93,100,8.05
329,Payyannur,IN,12.1,75.2,78.8,94,40,1.12
330,Kyaikkami,MM,16.08,97.57,80.92,69,68,7.74
331,Semirom,IR,31.41,51.57,30.51,77,0,2.3
332,Banda Aceh,ID,5.56,95.32,74.55,88,100,3.67
333,Xuddur,SO,4.12,43.89,75.15,47,96,4.23
334,Ust-Nera,RU,64.57,143.24,-37.21,100,95,1.23
335,Salamiyah,SY,35.01,37.05,57.58,78,100,1.79
336,Batticaloa,LK,7.71,81.69,74.01,96,95,2.84
337,Bandarbeyla,SO,9.49,50.81,78.93,73,100,29.01
338,Khasan,RU,42.43,130.64,24.08,78,34,6.8
339,Oum Hadjer,TD,13.3,19.7,74.62,11,69,11.7
340,Tura,RU,64.27,100.22,-29.31,97,4,2.21
341,Panyutyne,UA,48.93,36.28,35.96,91,43,7.4
342,Santa Ana,MX,30.54,-111.12,62.56,47,22,1.01
343,Abu Dhabi,AE,24.47,54.37,72.46,73,20,2.24
344,Berlevag,NO,70.86,29.09,28.36,77,6,31.0
345,Sangmelima,CM,2.93,11.98,71.98,84,100,4.0
346,Erenhot,CN,43.65,111.97,13.17,59,0,14.47
347,Phuket,TH,7.89,98.4,75.99,88,20,10.22
348,Molodizhne,UA,45.01,34.06,47.23,78,100,8.9
349,Amga,RU,60.89,131.98,-5.46,98,89,1.74
350,Turbat,PK,26.0,63.05,63.77,54,0,1.63
351,Ginda,IN,30.69,78.49,43.0,33,0,5.86
352,Babayurt,RU,43.6,46.78,46.36,91,100,8.21
353,Bondo,CD,3.81,23.69,70.27,66,36,0.83
354,Jalu,LY,29.03,21.55,59.34,49,0,5.21
355,Mochalishche,RU,56.33,48.35,26.6,92,90,13.42
356,Kathmandu,NP,27.71,85.32,46.4,87,20,3.36
357,Lerwick,GB,60.15,-1.15,41.0,81,100,19.46
358,Galle,GN,10.08,-12.83,73.15,52,0,0.51
359,Marsa,FR,42.82,2.16,48.04,87,90,5.82
360,Bayan,CN,36.1,102.26,12.61,87,98,0.85
361,Pavilosta,LV,56.89,21.19,37.4,59,66,6.93
362,Pundaguitan,PH,6.37,126.17,81.55,75,99,12.64
363,Khandbari,NP,27.38,87.21,36.95,56,0,5.44
364,Chara,GR,39.42,22.43,52.79,71,20,6.93
365,Namatanai,PG,-3.66,152.44,83.17,68,22,3.6
366,Kanigiri,IN,15.41,79.51,72.5,91,95,2.55
367,Kysyl-Syr,RU,63.9,122.77,-4.99,99,100,2.73
368,Ishigaki,JP,24.34,124.16,73.4,73,40,13.87
369,Sladkovo,RU,55.53,70.34,9.55,72,0,7.45
370,Tongchuan,CN,34.9,108.95,26.6,100,100,2.15
371,Rudnichnyy,RU,59.7,60.29,19.29,83,75,7.18
372,Zhuhai,CN,40.71,112.04,-4.0,76,0,4.47
373,Mayskiy,RU,43.63,44.06,41.0,75,0,4.47
374,Anadyr,RU,64.73,177.51,19.18,92,75,2.24
375,Ternate,PH,14.29,120.72,75.27,73,20,2.24
376,Traismauer,AT,48.35,15.74,30.78,74,0,3.36
377,Ca Mau,VN,9.18,105.15,75.94,86,96,7.29
378,Bontang,ID,0.12,117.47,80.98,79,100,0.58
379,Umm Lajj,SA,25.02,37.27,72.63,61,0,3.85
380,Kropotkin,RU,45.43,40.58,44.26,86,0,8.93
381,Vanavara,RU,60.35,102.28,-25.51,96,0,2.98
382,Govindgarh,IN,27.5,77.0,61.23,52,0,5.77
383,Segezha,RU,63.74,34.31,22.24,89,97,13.24
384,Magadan,RU,59.56,150.8,1.51,77,0,14.58
385,Adrar,DZ,27.87,-0.29,60.8,25,0,9.17
386,Damietta,EG,31.42,31.81,69.39,63,0,5.57
387,Jandiala,IN,31.56,75.03,54.01,93,0,3.29
388,Arzgir,RU,45.37,44.21,46.38,73,47,15.35
389,Ushuaia,AR,-54.81,-68.31,48.2,66,75,25.28
390,Puerto Ayora,EC,-0.74,-90.35,75.51,69,20,13.87
391,Hermanus,ZA,-34.42,19.24,61.14,83,68,15.7
392,Necochea,AR,-38.55,-58.74,59.56,58,0,11.01
393,Rikitea,PF,-23.12,-134.97,78.04,74,56,5.41
394,Lebu,ET,8.96,38.73,55.4,66,40,9.17
395,Alofi,NU,-19.06,-169.92,77.0,73,100,3.36
396,Jamestown,AU,-33.21,138.6,47.71,83,100,13.09
397,Presidente Epitacio,BR,-21.76,-52.12,81.61,76,83,1.66
398,Rocha,UY,-34.48,-54.34,71.96,51,63,6.4
399,Mataura,NZ,-46.19,168.86,57.99,77,100,7.0
400,Ancud,CL,-41.87,-73.83,57.2,71,40,5.82
401,Vaini,IN,15.34,74.49,69.82,80,100,6.53
402,Chuy,UY,-33.69,-53.46,77.58,51,83,5.55
403,Mar del Plata,AR,-46.43,-67.52,61.88,29,100,12.33
404,Georgetown,GY,6.8,-58.16,84.2,83,75,6.93
405,Saldanha,PT,41.42,-6.55,43.99,91,0,7.54
406,Atuona,PF,-9.8,-139.03,79.09,73,67,13.78
407,Salgueiro,BR,-8.07,-39.12,90.99,15,95,7.83
408,Punta Arenas,CL,-53.16,-70.91,57.2,54,20,27.51
409,Rawson,AR,-43.3,-65.11,53.33,61,14,11.65
410,Iaciara,BR,-14.1,-46.63,76.73,85,82,3.38
411,Avarua,CK,-21.21,-159.78,78.8,78,100,4.7
412,Cape Town,ZA,-33.93,18.42,63.66,72,20,16.11
413,Sao Jose da Coroa Grande,BR,-8.9,-35.15,80.38,77,24,16.04
414,Sao Joao da Barra,BR,-21.64,-41.05,75.2,78,100,9.17
415,Talca,CL,-35.43,-71.66,84.09,21,0,11.41
416,Paita,PE,-5.09,-81.11,62.6,100,40,9.17
417,Junin,PE,-16.45,-71.58,64.4,45,0,12.75
418,Arraial do Cabo,BR,-22.97,-42.02,77.0,69,100,11.41
419,Nova Olimpia,BR,-14.8,-57.29,77.52,89,100,2.48
420,Castro,CL,-42.48,-73.76,57.2,71,40,5.82
421,Cedro,BR,-6.61,-39.06,88.36,19,33,3.09
422,Coihaique,CL,-45.58,-72.07,57.0,44,20,9.17
423,Calama,CL,-22.46,-68.93,78.8,5,9,24.16
424,Acobamba,PE,-11.35,-75.66,51.1,75,100,8.88
425,Paramonga,PE,-10.68,-77.82,65.82,85,35,9.46
426,Cidreira,BR,-30.17,-50.22,76.01,76,65,5.7
427,Moerai,PF,-22.43,-151.33,76.77,86,100,11.68
428,Antofagasta,CL,-23.65,-70.4,66.2,68,20,14.99
429,Nisia Floresta,BR,-6.09,-35.21,78.8,74,20,9.17
430,Floriano,BR,-6.77,-43.02,87.44,34,38,2.91
431,Miracema do Tocantins,BR,-9.56,-48.4,81.59,71,64,4.72
432,Alta Floresta,BR,-9.87,-56.08,84.06,79,27,2.21
433,Quito,EC,-0.22,-78.51,58.08,72,75,13.87
434,Sao Miguel do Tapuio,BR,-5.5,-41.32,89.47,27,100,4.07
435,Rio Grande,BR,-32.03,-52.1,78.8,34,100,6.93
436,Ribas do Rio Pardo,BR,-20.45,-53.76,83.52,74,71,3.51
437,Papara,BR,-3.98,-38.73,83.23,74,20,10.29
438,Campoverde,EC,-0.91,-78.62,57.0,63,75,10.29
439,Cruzeiro do Sul,BR,-7.63,-72.67,88.95,56,63,4.85
440,Laranjeiras do Sul,BR,-25.41,-52.42,81.41,61,72,1.34
441,Playas,EC,-2.64,-80.39,74.19,80,93,13.67
442,Huarmey,PE,-10.07,-78.15,78.13,47,4,9.06
443,Pimentel,BR,-3.7,-45.5,86.92,54,82,4.32
444,Jequitinhonha,BR,-16.43,-41.0,74.95,75,9,4.09
445,Laguna,BZ,16.17,-88.94,82.4,74,40,6.93
446,Luderitz,NA,-26.65,15.16,66.2,59,0,17.22
447,Pisco,PE,-13.71,-76.2,71.82,30,0,6.93
448,Comodoro Rivadavia,AR,-45.87,-67.48,62.6,36,75,8.05
449,Axim,GH,4.87,-2.24,78.24,88,0,2.42
450,Olinda,AU,-37.84,145.39,52.88,66,90,11.41
451,Inhumas,BR,-16.36,-49.5,77.0,73,40,12.75
452,Ibipeba,BR,-11.64,-42.01,84.49,33,26,4.97
453,Niquelandia,BR,-14.47,-48.46,78.01,80,99,1.32
454,Illapel,CL,-31.63,-71.17,76.78,21,3,9.73
455,San Cristobal,HN,14.68,-86.92,82.33,40,0,3.33
456,Harper,US,30.3,-99.24,81.5,23,1,14.99
457,Pirapo,PY,-26.85,-55.53,64.4,93,90,9.17
458,Santa Ines,EC,-0.82,-78.63,57.15,63,75,10.29
459,Maceio,BR,-9.67,-35.74,80.6,65,100,11.41
460,Tingo Maria,PE,-9.29,-76.01,82.15,66,40,5.82
461,Gurupi,BR,-11.73,-49.07,84.18,70,91,2.19
462,Tautira,PF,-17.73,-149.15,87.31,70,20,17.22
463,Iquique,CL,-20.22,-70.14,69.8,64,56,11.41
464,Sao Felix do Xingu,BR,-6.64,-51.99,82.9,70,86,1.16
465,Peruibe,BR,-24.32,-47.0,72.48,84,12,13.69
466,Tabou,CI,4.42,-7.36,76.75,89,24,2.64
467,Rodrigues Alves,BR,-7.74,-72.65,88.95,56,63,4.85
468,Manicore,BR,-5.81,-61.3,91.96,51,92,2.55
469,Vila Velha,BR,-3.71,-38.6,83.19,74,20,10.29
470,Paragominas,BR,-3.0,-47.35,86.72,51,68,2.42
471,Coquimbo,CL,-29.95,-71.34,75.92,72,85,11.41
472,Taquarituba,BR,-23.53,-49.25,84.16,59,70,1.99
473,Valparaiso,US,41.47,-87.06,38.3,86,90,11.41
474,Avera,US,33.19,-82.53,69.87,46,75,4.7
475,Faanui,PF,-16.48,-151.75,81.88,80,5,13.2
476,Santa Cruz do Capibaribe,BR,-7.95,-36.21,76.32,59,57,11.5
477,Cordoba,AR,-27.78,-67.24,82.33,42,0,21.39
478,Alto Araguaia,BR,-17.32,-53.22,75.74,74,55,8.41
479,Cerro Largo,BR,-28.15,-54.74,82.15,62,100,4.54
480,Imbituba,BR,-28.24,-48.67,78.8,74,35,10.29
481,Salinas,US,36.67,-121.66,46.54,81,90,17.22
482,Pailon,BO,-17.66,-62.72,86.0,66,40,14.99
483,Caravelas,BR,-17.73,-39.27,78.73,71,93,10.02
484,Ilhabela,BR,-23.78,-45.36,73.36,87,9,15.79
485,Takoradi,GH,4.89,-1.75,82.15,81,0,10.11
486,Tiarei,PF,-17.53,-149.33,87.33,70,20,17.22
487,Hithadhoo,MV,-0.6,73.08,81.84,76,100,8.77
488,Alice Springs,AU,-23.7,133.88,59.0,54,0,3.36
489,New Norfolk,AU,-42.78,147.06,53.33,58,75,10.29
490,Busselton,AU,-33.64,115.35,51.24,46,0,12.46
491,Hobart,AU,-42.88,147.33,53.33,58,75,10.29
492,Mount Gambier,AU,-37.83,140.78,53.6,93,90,13.87
493,Kokopo,PG,-4.34,152.27,80.96,75,0,5.41
494,Thaba-Tseka,LS,-29.52,28.61,54.27,52,43,6.58
495,Namibe,AO,-15.19,12.15,72.05,84,92,10.47
496,Mount Isa,AU,-20.73,139.49,75.2,53,90,10.29
497,Esperance,AU,-33.86,121.89,55.4,76,90,6.93
498,Hermanus,ZA,-34.42,19.24,61.14,83,68,15.7
499,Bluff,AU,-23.58,149.07,73.44,67,0,5.26
500,Broome,GB,52.47,1.45,39.36,79,16,2.24
501,Jamestown,AU,-33.21,138.6,47.71,83,100,13.09
502,Albany,US,42.65,-73.75,27.3,54,20,6.93
503,Port Elizabeth,US,39.31,-74.98,40.68,41,90,3.36
504,Port Alfred,ZA,-33.59,26.89,64.99,82,99,3.0
505,Chiredzi,ZW,-21.05,31.67,74.55,31,0,5.91
506,East London,ZA,-33.02,27.91,69.96,66,97,11.86
507,Geraldton,CA,49.72,-86.95,14.0,85,75,11.41
508,Saint-Philippe,CA,45.36,-73.48,20.55,62,1,5.82
509,Luderitz,NA,-26.65,15.16,66.2,59,0,17.22
510,Mahebourg,MU,-20.41,57.7,76.42,78,75,12.75
511,Bredasdorp,ZA,-34.53,20.04,60.33,77,55,1.12
512,Voh,NC,-20.95,164.69,73.94,68,82,4.21
513,Mbuji-Mayi,CD,-6.13,23.6,71.55,82,100,1.03
514,Carnarvon,ZA,-30.97,22.13,59.0,66,71,16.42
515,Saint-Joseph,FR,43.56,6.97,49.3,87,40,5.82
516,Mbarara,UG,-0.61,30.65,61.72,92,3,1.88
517,Cape Town,ZA,-33.93,18.42,63.66,72,20,16.11
518,Gunnedah,AU,-30.98,150.25,69.8,56,90,6.93
519,Souillac,FR,45.6,-0.6,48.07,100,48,11.41
520,Bloemfontein,ZA,-29.12,26.22,78.8,26,67,6.93
521,Tobane,BW,-21.91,28.04,77.34,13,0,7.07
522,Tual,ID,-5.67,132.75,81.95,71,5,5.61
523,Poum,MK,41.28,20.71,36.5,84,21,3.06
524,Vanimo,PG,-2.67,141.3,83.43,72,6,7.47
525,Okakarara,NA,-20.59,17.46,72.68,64,92,13.98
526,Lindi,TZ,-10.0,39.71,72.79,92,58,1.21
527,Yulara,AU,-25.24,130.99,60.8,36,0,10.29
528,Tuatapere,NZ,-46.13,167.69,57.99,78,100,5.99
529,Mahajanga,MG,-15.72,46.32,80.6,69,20,9.17
530,Nacala,MZ,-14.56,40.69,77.25,84,59,0.83
531,Saldanha,PT,41.42,-6.55,43.99,91,0,7.54
532,Padang,ID,-0.92,100.36,68.36,96,91,2.33
533,Isangel,VU,-19.55,169.27,80.6,54,80,6.93
534,Kaitangata,NZ,-46.28,169.85,53.01,97,100,7.0
535,Greytown,ZA,-29.06,30.59,62.08,89,80,7.87
536,Kununurra,AU,-15.77,128.74,80.6,78,90,3.36
537,Kieta,PG,-6.22,155.63,81.21,80,13,2.66
538,Waipawa,NZ,-39.94,176.59,75.99,55,0,1.01
539,Kaeo,NZ,-35.1,173.78,70.99,100,0,10.74
540,Margate,AU,-43.03,147.26,53.53,58,75,10.29
541,Henties Bay,NA,-22.12,14.28,63.0,87,8,3.0
542,Meulaboh,ID,4.14,96.13,81.32,78,100,2.55
543,Port Macquarie,AU,-31.43,152.91,71.4,88,90,5.82
544,Nkhotakota,MW,-12.93,34.3,80.92,69,23,3.83
545,Batemans Bay,AU,-35.71,150.18,59.61,70,10,7.0
546,Russell,US,38.9,-98.86,42.06,45,1,32.21
547,Longido,TZ,-2.73,36.7,63.0,91,21,7.99
548,Hambantota,LK,6.12,81.12,77.58,89,100,12.91
549,Cairns,AU,-16.92,145.77,76.26,69,97,1.12
550,Caconda,AO,-13.73,15.06,63.72,94,100,1.95
551,Bambous Virieux,MU,-20.34,57.76,76.44,78,75,12.75
552,Phalaborwa,ZA,-23.95,31.14,80.6,26,0,2.24
553,Buin,CL,-33.73,-70.74,88.38,11,0,6.93
554,Kruisfontein,ZA,-34.0,24.73,57.38,83,75,4.72
555,Bundaberg,AU,-24.87,152.35,79.93,65,46,10.29
556,Buala,SB,-8.15,159.59,82.33,77,46,4.29
557,Namatanai,PG,-3.66,152.44,83.17,68,22,3.6
558,Boende,CD,-0.28,20.88,74.86,84,37,1.88
559,Kavieng,PG,-2.57,150.8,83.93,65,34,4.23
560,Malanje,AO,-9.54,16.35,65.25,88,32,3.67
561,Charters Towers,AU,-20.07,146.27,71.56,75,1,7.29
562,Merauke,ID,-8.49,140.4,76.86,88,67,5.21
563,Dordrecht,NL,51.8,4.68,34.63,100,0,4.7
564,Morwell,AU,-38.24,146.4,52.2,71,100,8.01
565,Waitati,NZ,-45.75,170.57,57.0,92,100,13.0
566,Loa Janan,ID,-0.58,117.09,73.98,97,100,1.16
567,Plettenberg Bay,ZA,-34.05,23.37,60.64,77,15,5.21
568,Prieska,ZA,-29.67,22.74,69.94,13,86,10.42
569,Sambava,MG,-14.27,50.17,70.79,96,25,2.44
570,Majene,ID,-3.54,118.97,75.96,91,87,3.69
571,Norsup,VU,-16.07,167.38,78.15,70,14,11.39
572,Auki,NG,12.18,6.51,78.67,19,99,8.08
573,Boyolangu,ID,-8.09,111.9,74.75,91,93,4.32
574,Lakes Entrance,AU,-37.88,147.99,50.25,81,100,9.15
575,Katherine,AU,-14.47,132.26,84.2,66,75,4.7
576,Te Anau,NZ,-45.41,167.72,51.12,98,100,3.53
577,Victoria,BN,5.28,115.24,79.38,88,75,7.4
578,Lata,IN,30.78,78.62,15.62,19,0,4.14
579,Karratha,AU,-20.74,116.85,84.07,57,96,11.48
580,Hervey Bay,AU,-25.3,152.85,79.95,65,58,10.29
581,Mayumba,GA,-3.44,10.65,77.83,90,100,8.52
582,Kabompo,ZM,-13.6,24.21,66.36,93,55,2.77
583,Vila,IT,45.18,8.4,42.98,100,90,6.93
584,Waingapu,ID,-9.65,120.26,83.97,68,1,0.98
585,Ulladulla,AU,-35.36,150.48,60.19,63,0,5.82
586,Micheweni,TZ,-4.97,39.83,82.67,79,0,8.77
587,Broken Hill,AU,-31.97,141.45,55.4,54,0,14.99
588,Ahipara,NZ,-35.17,173.16,71.01,100,5,11.27
589,Beloha,MG,-25.17,45.06,73.67,76,83,7.52
590,Basoko,CD,1.23,23.61,74.25,84,55,0.36
591,Vao,EE,59.1,26.19,28.89,92,98,6.58
592,Kawalu,ID,-7.38,108.21,69.67,94,53,1.45
593,Rundu,NA,-17.91,19.77,77.0,47,100,2.24
594,Omboue,GA,-1.57,9.26,74.75,93,100,2.01
595,Flinders,AU,-34.58,150.85,63.39,63,32,5.82
596,Port Augusta,AU,-32.49,137.76,54.21,66,90,9.17
597,Port Hedland,AU,-20.31,118.58,82.4,30,32,9.17
598,Wanaka,NZ,-44.7,169.14,49.17,89,100,9.93
599,Martapura,ID,-3.41,114.85,74.61,95,76,2.24
600,Belfast,GB,54.6,-5.93,39.16,93,100,8.05
